"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Argentina","ARG","Demand for family planning satisfied by modern methods (% of married women with demand for family planning)","SH.FPL.SATM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Number of under-five deaths","SH.DTH.MORT","","","","","","","","","","","","","","","39772","39356","38322","36575","34243","31689","29223","26962","24963","23274","21953","21027","20482","20297","20378","20526","20533","20305","19825","19135","18327","17490","16677","15915","15216","14599","14077","13618","13182","12751","12347","11997","11702","11453","11230","10984","10679","10310","9907","9490","9064","8640","8217","7792","7373","6977","",
"Argentina","ARG","Women who believe a husband is justified in beating his wife when she refuses sex with him (%)","SG.VAW.REFU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.19353","17.65592","17.33307","16.08829","13.06567","10.37139","10.90728","11.70836","13.07729","14.23457","14.98778","17.68235","16.12808","15.94486","16.31633","16.77133","16.26738","17.24864","16.08373","16.91251","","","",
"Argentina","ARG","Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","SE.TER.CUAT.ST.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.7761898040771","","15.3010902404785","","","18.1831302642822","","18.9816608428955","19.9750595092773","20.3052196502686","20.4073905944824","21.4739208221436","21.3465995788574","21.4854698181152","21.1394100189209","21.44455909729","","22.4685897827148","","",
"Argentina","ARG","Trained teachers in secondary education (% of total teachers)","SE.SEC.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","School enrollment, secondary, male (% gross)","SE.SEC.ENRR.MA","","","","","","","","","","","41.9743499755859","43.3274002075195","45.5700302124023","47.7441482543945","50.4284210205078","51.6732215881348","52.8998985290527","52.3783493041992","52.0187911987305","51.9632415771484","52.5721817016602","53.5876808166504","56.3747787475586","58.0390396118164","62.5598297119141","66.8860931396484","67.3387298583984","67.8054428100586","68.1191482543945","","","","","","","","75.2492904663086","72.3845901489258","79.4221725463867","89.9061813354492","93.6215286254883","94.4051132202148","93.4853668212891","92.181266784668","91.0469207763672","88.8203887939453","87.3602676391602","87.0294418334961","87.906867980957","91.4523010253906","94.9950408935547","96.6175384521484","99.1224212646484","101.233001708984","102.592811584473","103.843971252441","106.088180541992","106.511833190918","","","",
"Argentina","ARG","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.PO.ZS","","","","","","","","","","","4","","","","","","","","","","6.09999990463257","","","","","","","","","","","12.0099096298218","","","","","","","","","","","","13.6834497451782","","","16.2084293365479","","17.2461490631104","17.820520401001","18.2467708587646","18.4053401947021","18.8033409118652","19.0403594970703","18.7846908569336","18.576150894165","19.4222507476807","","19.9918098449707","","",
"Argentina","ARG","Adjusted net enrollment rate, primary, male (% of primary school age children)","SE.PRM.TENR.MA","","","","","","","","","","","94.16335","","","","96.91181","96.55819","","","","","","","","","","","","","","","","96.34115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Persistence to grade 5, female (% of cohort)","SE.PRM.PRS5.FE.ZS","","","","","","","","","","","77.1705474853516","","","","75.539192199707","77.2102737426758","","","","","","","","","","","","","","","","","","","","","70.3406982421875","","91.4714202880859","94.3226470947266","92.6123962402344","91.3721237182617","82.9516067504883","94.4902877807617","88.7557373046875","94.9739074707031","96.1963577270508","97.2471923828125","94.8125","95.4940719604492","94.9907531738281","96.4914398193359","95.7539291381836","97.4193572998047","96.7620010375977","97.9065628051758","95.5731430053711","","","","",
"Argentina","ARG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","105.821311950684","106.506286621094","106.038307189941","105.592231750488","106.32186126709","106.099891662598","105.753059387207","106.66185760498","106.277099609375","106.766578674316","106.895767211914","107.608009338379","107.83699798584","","106.028717041016","106.174377441406","107.024520874023","107.391807556152","107.966346740723","","106.91242980957","108.99739074707","","","110.97087097168","","110.220222473145","107.086303710938","111.541656494141","114.496871948242","115.694129943848","116.25016784668","116.798431396484","114.494667053223","115.806053161621","115.29914855957","117.203300476074","118.051109313965","118.593460083008","117.905982971191","116.975761413574","115.614730834961","114.227172851563","112.011947631836","111.459671020508","111.303413391113","110.739181518555","109.74146270752","","","",
"Argentina","ARG","School enrollment, preprimary, female (% gross)","SE.PRE.ENRR.FE","","","","","","","","","","","24.0705699920654","25.4533596038818","26.9626903533936","29.4850807189941","32.0393981933594","36.4192695617676","38.733341217041","40.1003913879395","","","","43.3481292724609","45.1455612182617","46.1639213562012","48.9503517150879","51.9305686950684","53.9278602600098","57.5299682617188","61.9407806396484","","","","","","","","53.4962997436523","54.162899017334","55.476619720459","56.2061500549316","59.2625885009766","60.0664710998535","60.7318115234375","60.9645385742188","62.7236518859863","64.3349533081055","64.1637268066406","65.2349472045898","67.2965621948242","68.6873931884766","69.4229431152344","69.4313125610352","71.2427062988281","72.8458099365234","73.8574829101563","75.2564010620117","75.9007415771484","76.6315307617188","","","",
"Argentina","ARG","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Adequacy of social safety net programs (% of total welfare of beneficiary households)","per_sa_allsa.adq_pop_tot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6710903057301","","","","10.9621758748799","11.3343497372497","10.4701654975154","11.3135759745517","15.3433027130018","","13.220609395203","10.4502155714214","9.62146258328451","","",
"Argentina","ARG","DEC alternative conversion factor (LCU per US$)","PA.NUS.ATLS","","","8.717000211933E-12","1.38719999029369E-11","1.40389999972457E-11","1.70000003657522E-11","2.1000000349769E-11","3.29999985670959E-11","3.4999999426466E-11","3.4999999426466E-11","3.79999989807978E-11","5.00000006675716E-11","7.99999996803358E-11","9.00000005077395E-11","9.00000005077395E-11","3.70000002858362E-10","1.99999994343614E-09","4.99999996961265E-09","1.22000001212541E-08","2.79000005320995E-08","4.9899998799674E-08","9.49999972021942E-08","2.59199993024595E-07","1.0530000054132E-06","9.99999974737875E-06","5.99999984842725E-05","9.00000013643876E-05","0.000209999998332933","0.000880000006873161","0.0423300005495548","0.487589985132217","0.9535","0.9906","0.999","1","1","1","1","1","1","1","1","3.1986","2.9463","2.9462","2.9312","3.0784","3.1196","3.1797","3.7478","3.9226","4.1101","4.8315","6.0655","8.7002","10.0118","14.7582","16.5627","28.095","48.1479","",
